label,intensity_mean,intensity_sdeviation
151,24240.551777434313,1984.4490022102339
152,27367.811163895487,1857.740897821414
153,31644.04011461318,2167.4328558544175
154,26628.316455696204,1947.070035075743
155,24743.7365119197,1999.3937320330954
156,25668.592105263157,1863.3630545590327
157,28589.641052631578,3094.630253672684
158,25356.447,1650.7963948322033
159,26621.49805447471,1918.4721306665037
160,25862.53619302949,1678.663088125599
161,27750.394334277622,2343.735228733007
162,26789.558139534885,1825.7806568653855
163,28076.177444794954,2358.499148003162
164,29996.318982387475,2243.4196050835717
165,23893.816203143895,1617.9021847189254
166,26152.003117692908,2256.9759404870224
167,25658.035666218035,1653.9062316493703
168,26547.05661501788,1613.1336488411564
169,27268.82303030303,1999.4289591333622
170,23545.348284960422,1706.1573405703293
171,24585.890604890606,1659.5147158973355
172,27072.16994219653,1847.2949791264462
173,25813.07530120482,2080.910851825563
174,26854.755555555555,1713.5526089327539
175,28190.35127860027,1915.419855761201
176,26597.93332070468,2777.3626126459067
177,28912.81055900621,1900.5864433119964
178,24754.143690736688,1793.752254769342
179,31530.747688243064,2670.7909388135727
180,26937.380310880828,2479.256984931684
181,26394.345386533667,2915.7211453029927
182,26094.64652567976,1721.759763062905
183,28695.62523020258,2198.876085017978
184,30590.50488934637,4186.7244099007585
185,26509.70483602001,2252.938082478992
186,25784.06199021207,1815.4362054501762
187,27532.774744027305,1952.0575310553347
188,25478.551305403766,1999.8721567237835
189,26780.154713114753,2144.432618614296
190,29182.861751152075,2739.267720987984
191,24681.170780520348,1730.46234596634
192,30945.283885209712,2855.254801839382
193,25503.213917525773,1751.5450071702617
194,28975.139380530974,3057.077900957051
195,27743.273460410557,3107.5466187228985
196,27646.214863870493,2893.7020796420306
197,26322.72457912458,2793.5697484816014
198,27619.51040221914,2249.4566606010235
199,26126.802681992336,1896.3432317585562
200,33059.06123367852,3800.971991122141
201,24442.185213414636,1791.3148899776797
202,24821.438265786994,1881.25556395078
203,24240.022483940043,2063.1829328175513
204,28583.230366492146,2024.006640025781
205,26434.94533762058,1854.8201449203582
206,27963.383358098068,2720.8788904039957
207,28701.571428571428,3813.4606549196324
208,25865.38551099612,2400.7926297626245
209,28657.713527851458,2714.6090957267024
210,25851.790087463556,1940.3869560031333
211,27959.350461133068,2953.8937253533013
212,22729.72397769517,2153.869139155679
213,27243.163418290853,2355.6271927122903
214,24724.54910714286,2569.093612280393
215,24615.930942895087,1699.7564704910337
216,25575.520784313725,1870.4202002882782
217,25963.85180572852,2086.376210170933
218,24796.09270386266,2449.211986785313
219,23269.798319327732,1807.5186034474352
220,24808.291666666668,2503.001917351221
221,26564.593132154005,2110.2486372570993
222,27488.74122562674,2715.3297678838494
223,25210.977832512315,1807.4395320646768
224,24880.32530120482,2032.4548352254558
225,22187.7367475292,2173.5992070545985
226,25054.34818067754,2541.688810591671
227,22446.335917312663,2035.4421241214234
228,24268.308183401045,1830.5128654989499
229,26274.998503740648,2219.88988504912
230,25395.970884658454,2272.544652445928
231,35694.69673055242,4259.962500724236
232,24288.809451219513,1852.9414524455872
233,22254.028011204482,1916.9882826400717
234,22947.780357142856,2243.7112845780157
235,21303.630609896434,1552.3830718836314
236,23846.199163179917,1641.7097543890648
237,24179.983213429256,2016.2066174919798
238,29734.745467224548,2892.8033880971875
239,23893.417159763314,2577.9189500370217
240,23615.44881889764,1726.1398434633038
241,24315.81232227488,2476.1633315268045
242,24255.206627680313,1847.2573115943337
243,24934.57258883249,2726.9384087910744
244,25759.67542153048,2522.9656076193114
245,25828.94052863436,2363.8711168877435
246,28190.83418367347,2761.4399181377344
247,23189.226818830244,2500.9980903311284
248,23446.57490636704,1962.2503755952928
249,25889.460157126825,2556.702826652127
250,29167.557971014492,2428.7871578698623
251,28416.975083056477,3194.813613649037
252,28676.612809315866,2655.2237473482737
253,23423.0492211838,1785.8051362041613
254,30180.82894736842,2073.12118103774
255,26052.64167916042,2801.3165825632964
256,25141.679738562092,3150.245465388983
257,34297.14202898551,4673.619559772661
258,26431.023668639053,2548.89136581104
259,25049.599423631123,2107.344315559855
260,24345.098684210527,1857.4128185245522
